222.186.25.77 - - [13/May/2014:01:14:21 +0100] "GET / HTTP/1.1" 500 4124
111.248.56.175 - - [13/May/2014:03:55:58 +0100] "CONNECT mx0.mail2000.com.tw:25 HTTP/1.0" 400 -
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "POST /smile-server/api-1.1/auth HTTP/1.1" 200 715
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/279c1866bb4a7ac303796d27e00a8544 HTTP/1.1" 200 463
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/59f77efbab65614e739987337344c71d HTTP/1.1" 200 480
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/8d9d127c97f2409d7ec7adea2235e1dd HTTP/1.1" 200 441
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/51b74dc0d127a3900f15e78a88a6ce74 HTTP/1.1" 200 304
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/8858988fda2011409352fa20039e9064 HTTP/1.1" 200 589
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/15905c0320388856bd0a752ac9eb29d6 HTTP/1.1" 200 607
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/8d3627867eac75024695be687c6aa21a HTTP/1.1" 200 683
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/ffae06771d86b2fd0ddfaf23f49bfb9a HTTP/1.1" 200 481
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/f573bfd343dcf26a83a381d24cf71927 HTTP/1.1" 200 439
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/a38304cb5108f2c6f5d4f2b891016e32 HTTP/1.1" 200 448
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/9601e57e3d567bc191901ca87ed612d2 HTTP/1.1" 200 454
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/1eb38c5015ab20f7f392783737cd05ed HTTP/1.1" 200 455
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/5bc94217be28b3957f510db35832bdd4 HTTP/1.1" 200 430
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/4a8dd16164f0e80efe36cebef2d584b4 HTTP/1.1" 200 450
127.0.0.1 - - [13/May/2014:11:31:13 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
127.0.0.1 - - [13/May/2014:11:32:13 +0100] "POST /smile-server/api-1.1/auth/all/logout HTTP/1.1" 200 30
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "POST /smile-server/api-1.1/auth HTTP/1.1" 200 714
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/279c1866bb4a7ac303796d27e00a8544 HTTP/1.1" 200 463
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/59f77efbab65614e739987337344c71d HTTP/1.1" 200 480
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/8d9d127c97f2409d7ec7adea2235e1dd HTTP/1.1" 200 441
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/51b74dc0d127a3900f15e78a88a6ce74 HTTP/1.1" 200 304
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/8858988fda2011409352fa20039e9064 HTTP/1.1" 200 589
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/15905c0320388856bd0a752ac9eb29d6 HTTP/1.1" 200 607
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/8d3627867eac75024695be687c6aa21a HTTP/1.1" 200 683
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/ffae06771d86b2fd0ddfaf23f49bfb9a HTTP/1.1" 200 481
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/f573bfd343dcf26a83a381d24cf71927 HTTP/1.1" 200 439
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/a38304cb5108f2c6f5d4f2b891016e32 HTTP/1.1" 200 448
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/9601e57e3d567bc191901ca87ed612d2 HTTP/1.1" 200 454
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/1eb38c5015ab20f7f392783737cd05ed HTTP/1.1" 200 455
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/5bc94217be28b3957f510db35832bdd4 HTTP/1.1" 200 430
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/4a8dd16164f0e80efe36cebef2d584b4 HTTP/1.1" 200 450
127.0.0.1 - - [13/May/2014:11:43:25 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
127.0.0.1 - - [13/May/2014:11:43:27 +0100] "GET /smile-server/api-1.1/product HTTP/1.1" 200 802
127.0.0.1 - - [13/May/2014:11:43:36 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 500 5675
139.133.11.4 - - [13/May/2014:11:43:57 +0100] "OPTIONS /smile-server/api-1.1/search/identifier/key/?b HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:43:57 +0100] "OPTIONS /smile-server/api-1.1/search/identifier/key/?co HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:43:57 +0100] "OPTIONS /smile-server/api-1.1/search/identifier/key/?co HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:43:57 +0100] "OPTIONS /smile-server/api-1.1/search/identifier/key/?col HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:43:58 +0100] "OPTIONS /smile-server/api-1.1/search/identifier/key/?color HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:43:58 +0100] "OPTIONS /smile-server/api-1.1/search/identifier/key/?color HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:44:03 +0100] "OPTIONS /smile-server/api-1.1/search/property/key/?s HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:44:03 +0100] "OPTIONS /smile-server/api-1.1/search/property/key/?si HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:44:03 +0100] "OPTIONS /smile-server/api-1.1/search/property/key/?siz HTTP/1.1" 404 967
139.133.11.4 - - [13/May/2014:11:44:03 +0100] "OPTIONS /smile-server/api-1.1/search/property/key/?size HTTP/1.1" 404 967
127.0.0.1 - - [13/May/2014:11:44:11 +0100] "POST /smile-server/api-1.1/product HTTP/1.1" 201 284
127.0.0.1 - - [13/May/2014:11:45:09 +0100] "GET /smile-server/api-1.1/product HTTP/1.1" 200 1075
127.0.0.1 - - [13/May/2014:11:45:11 +0100] "GET /smile-server/api-1.1/product/893 HTTP/1.1" 200 384
127.0.0.1 - - [13/May/2014:11:45:16 +0100] "GET /smile-server/api-1.1/product HTTP/1.1" 200 1075
127.0.0.1 - - [13/May/2014:11:45:34 +0100] "GET /smile-server/api-1.1/product/886 HTTP/1.1" 200 414
127.0.0.1 - - [13/May/2014:11:47:04 +0100] "POST /smile-server/api-1.1/auth HTTP/1.1" 406 140
127.0.0.1 - - [13/May/2014:11:47:08 +0100] "POST /smile-server/api-1.1/auth HTTP/1.1" 200 240
127.0.0.1 - - [13/May/2014:11:47:08 +0100] "GET /smile-server/api-1.1/business/8858988fda2011409352fa20039e9064 HTTP/1.1" 200 589
127.0.0.1 - - [13/May/2014:11:47:08 +0100] "GET /smile-server/api-1.1/business/8858988fda2011409352fa20039e9064 HTTP/1.1" 200 589
127.0.0.1 - - [13/May/2014:11:47:09 +0100] "GET /smile-server/api-1.1/product HTTP/1.1" 200 585
127.0.0.1 - - [13/May/2014:11:47:12 +0100] "GET /smile-server/api-1.1/product/986 HTTP/1.1" 200 570
127.0.0.1 - - [13/May/2014:11:47:58 +0100] "POST /smile-server/api-1.1/auth/all/logout HTTP/1.1" 200 30
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "POST /smile-server/api-1.1/auth HTTP/1.1" 200 715
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/9d6f1155a07641aa14dba27a061d1522 HTTP/1.1" 200 456
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/279c1866bb4a7ac303796d27e00a8544 HTTP/1.1" 200 463
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/59f77efbab65614e739987337344c71d HTTP/1.1" 200 480
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/8d9d127c97f2409d7ec7adea2235e1dd HTTP/1.1" 200 441
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/51b74dc0d127a3900f15e78a88a6ce74 HTTP/1.1" 200 304
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/8858988fda2011409352fa20039e9064 HTTP/1.1" 200 589
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/15905c0320388856bd0a752ac9eb29d6 HTTP/1.1" 200 607
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/8d3627867eac75024695be687c6aa21a HTTP/1.1" 200 683
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/ffae06771d86b2fd0ddfaf23f49bfb9a HTTP/1.1" 200 481
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/f573bfd343dcf26a83a381d24cf71927 HTTP/1.1" 200 439
127.0.0.1 - - [13/May/2014:11:48:15 +0100] "GET /smile-server/api-1.1/business/a38304cb5108f2c6f5d4f2b891016e32 HTTP/1.1" 200 448
127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/9601e57e3d567bc191901ca87ed612d2 HTTP/1.1" 200 454
127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/1eb38c5015ab20f7f392783737cd05ed HTTP/1.1" 200 455
127.0.0.1 - - [13/May/2014:11:48:16 +0100] "GET /smile-server/api-1.1/business/5bc94217be28b3957f510db35832bdd4 HTTP/1.1" 200 430
